id,composite_code,component_code,component_name,qty
be6d843a-90e4-f3f0-f032-6101bfac1ad3,LG40904,AM0901,دولاب حمام -80 سم,1.000
62c8e3b8-1bd0-fa5f-2ddf-ace29b8fb4c8,LG40112,LG40341,حوض وجه برسلين مشطوف 80 سم,1.000
6c1c4304-cf43-fa76-a017-0e36b7c291f8,MF20130,MF20003,مراية حمام 80 سم,1.000
550ca075-b4ca-c4cd-e755-53670bd4986b,AM0754,AM0751,دولاب حمام -80 سم,1.000
556653e8-f865-71e1-cc3f-2808ca75af4f,LG40390,EG40359,رف حوض وجه برسلين 65 سم,1.000
aa21d39b-10ef-ebec-dbbd-b2abcdd09f09,AM40565,AM40560,مراية دولاب حمام -80 سم,1
8c484e8b-e745-5098-54df-098a5db13ce1,LG40794,EG40796,رف كواريون كوارتزأبيض 60سم,1.000
9445be53-3e67-274a-e643-26d51806e2c9,ML30937,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
c9ef91dc-7224-51ea-9026-24e1fb902367,LG40794,ML30806,مرايا حمام مع إضاءة لد 60*80 سم عرض,1.000
29d6074f-3bd1-ea91-4ae4-1dcc583ee37e,VS10824,VS10801,حوض وجه معلق -90 سم,1.000
c8b5a6b1-3d7f-9d9f-b9c4-2b4927c02674,AB10341,AB10116,خزانة حمام أبيض,1.000
588192a8-6125-6652-056a-68bee1d2567d,ML30842,ML30808,مرايا حمام مع إضاءة لد80*60 سم,1.000
525c2e29-63e6-076a-12db-303b9a608604,AM0129,AB10107,خزانة حمام أبيض,1.000
71045817-aae4-413f-8bda-f4cb3ac8512f,AM0852,ML30834,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1.000
6371e12f-a4d5-5bd4-ba8b-2973f8080066,EG40106,EG40351,رف حوض وجه برسلين 80 سم,1.000
4731d296-646f-9ee4-20ed-ba28537c2981,AM40351,AM40335,مراية دولاب حمام -80 سم,1.000
89a9c1bc-157c-0e0c-5bdc-6fe0144dca0a,LG40399,EG40397,رف حوض وجه برسلين 80 سم,1.000
a48f40a1-2b24-865e-2ad5-e95432ec76fb,ML30846,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
