location_name,product_code,product_name,qty
فرع 11 يونيو,AM0450,دولاب حمام 100 سم,2.000
فرع 11 يونيو,AM0456,دولاب حمام 85 سم,4.000
فرع 11 يونيو,AM0460,دولاب حمام 80 سم,-1.000
فرع 11 يونيو,AM0541,دولاب حمام أرضي 60,2.000
فرع 11 يونيو,AM0563,حوض وجه  دولاب حمام -90 سم,1.000
فرع 11 يونيو,AM0564,دولاب حمام -90 سم,1.000
فرع 11 يونيو,AM0690,دولاب حمام مع حوض وجه 80 سم,3.000
فرع 11 يونيو,AM0692,دولاب حمام مع حوض وجه 60 سم,-2.000
فرع 11 يونيو,AM0695,دولاب مع حوض وجه مع مراية حمام 80 سم,-1.000
فرع 11 يونيو,AM0696,دولاب حمام مع حوض وجه 80 سم,4.000
فرع 11 يونيو,AM0699,دولاب حمام مع حوض وجه 60 سم,1.000
فرع 11 يونيو,AM0737,دولاب حمام مع حوض وجه 60 سم,1.000
فرع 11 يونيو,AM0738,دولاب حمام مع حوض وجه 60 سم,1.000
فرع 11 يونيو,AM0739,دولاب حمام مع حوض وجه 80 سم,2.000
فرع 11 يونيو,AM0740,دولاب حمام مع حوض وجه 80 سم,2.000
فرع 11 يونيو,AM0800,دولاب حمام مع إضاءة لد -90 سم,2.000
فرع 11 يونيو,AM0802,دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0810,دولاب حمام مع إضاءة لد-100 سم,2.000
فرع 11 يونيو,AM0824,دولاب حمام 80 سم أبيض,3.000
فرع 11 يونيو,AM0826,دولاب حمام مع إضاءة لد-100 سم,3.000
فرع 11 يونيو,AM0838,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0841,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0843,حوض وجه مع دولاب حمام -60 سم,2.000
فرع 11 يونيو,AM0853,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0857,دولاب حمام -60 سم,1.000
فرع 11 يونيو,AM0858,دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0859,دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0901,دولاب حمام -80 سم,3.000
فرع 11 يونيو,AM0941,دولاب حمام -80 سم,15.000
فرع 11 يونيو,AM0944,دولاب حمام -80 سم,13.000
فرع 11 يونيو,AM0951,دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0955,دولاب حمام -70 سم,8.000
فرع 11 يونيو,AM0959,دولاب حمام -70 سم,5.000
فرع 11 يونيو,AM0963,دولاب حمام -70 سم,5.000
فرع 11 يونيو,AM0967,دولاب حمام -60 سم,10.000
فرع 11 يونيو,AM0971,دولاب حمام -60 سم,10.000
فرع 11 يونيو,AM0975,دولاب حمام -60 سم,10.000
فرع 11 يونيو,AM40044,مراية دولاب حمام لد -80 سم,-1.000
فرع 11 يونيو,AM40141,مراية دولاب حمام لد -80 سم,2.000
فرع 11 يونيو,AM40147,مراية دولاب حمام 100 سم,1.000
فرع 11 يونيو,AM40193,مراية دولاب حمام -60 سم,1.000
فرع 11 يونيو,AM40194,مراية دولاب حمام -60 سم,-3.000
فرع 11 يونيو,AM40226,مراية دولاب حمام -70 سم,4.000
فرع 11 يونيو,AM40227,مراية دولاب حمام -70 سم,1.000
فرع 11 يونيو,AM40361,مراية دولاب حمام -80 سم,-1.000
فرع 11 يونيو,AM40401,مراية دولاب حمام-80 سم,4.000
فرع 11 يونيو,AM40452,مراية دولاب حمام 100 سم,2.000
فرع 11 يونيو,AM40457,مراية دولاب حمام 80 سم,4.000
فرع 11 يونيو,AM40565,مراية دولاب حمام -90 سم,1.000
فرع 11 يونيو,AM40694,مراية دولاب حمام 60 سم,-2.000
فرع 11 يونيو,AM40697,مراية دولاب حمام 80 سم,4.000
فرع 11 يونيو,AM40825,مراية دولاب حمام لد -80 سم,3.000
فرع 11 يونيو,AM40940,مراية دولاب حمام 80 سم,15.000
فرع 11 يونيو,AM40945,مراية دولاب حمام 80 سم,13.000
فرع 11 يونيو,AM40953,مراية دولاب حمام 80 سم,3.000
فرع 11 يونيو,AM40957,مراية دولاب حمام 70 سم,7.000
فرع 11 يونيو,AM40961,مراية دولاب حمام 70 سم,5.000
فرع 11 يونيو,AM40965,مراية دولاب حمام 70 سم,5.000
فرع 11 يونيو,AM40969,مراية دولاب حمام 60 سم,10.000
فرع 11 يونيو,AM40973,مراية دولاب حمام 60 سم,10.000
فرع 11 يونيو,AM40977,مراية دولاب حمام 60 سم,10.000
فرع 11 يونيو,AMEV50019,سماعة خلاط حوض المطبخ كروم,1.000
فرع 11 يونيو,APCI40229,مطول 1/2 *10 مم كروم,18.000
فرع 11 يونيو,ARSB0758,سماعة دوش مع طوبو أسود,4.000
فرع 11 يونيو,ARSB80003,مصب حوض كروم,2.000
فرع 11 يونيو,ARSB80004,مخرج شطاف كروم بالعلاقة,11.000
