code,name,brand,model,category,supplier_id,purchase_price,retail_price,active,barcode,old_id
AM0809,حوض وجه مع دولاب حمام مع خزانة مع مراية -100 سم,سانيتاري ويرز,9927,دولاب حمام,f68c4a72-8eb2-7563-07ad-b344ff9fe960,1480.000,2100.000,t,,310004229
PA30610,سلسلة رقم 12 (1متر),الشركة العالمية للتصدير و الإستيراد,,خيط، حبل,4db58ef5-0e02-ae07-fc14-5629c40b7689,25.000,35.000,t,,210004128
ML30814,مرايا حمام مع إضاءة لد85*70 سم,سانيتاري ويرز,9927,مراية مضيئة,f68c4a72-8eb2-7563-07ad-b344ff9fe960,130.000,220.000,t,,310004241
ALVM50203,رأس سيفوني رخامي,سانيتاري ويرز,,رأس سيفوني,f68c4a72-8eb2-7563-07ad-b344ff9fe960,21.462,50.000,t,,310003064
ARSB80119,مصب دوش مع تحويلة كروم,فورتميكس,,مصب دوش,0dafba13-51f2-fc5a-eab7-f16d55bcce40,85.000,150.000,t,,210002823
ML11091,خلاط حوض وجه أبيض-كروم,MSLiNO,LY2327-WCP,خلاط حوض وجه,41cf3726-7c18-801f-29b4-95bfba464df9,188.500,300.000,t,,310004594
WA40918,غطاء مقعد معلق كبير تورنيدو أبيض,ب.أمور,6203/131E,غطاء مقعد,77d76dcb-7fe6-a4b4-4998-83b869291b06,51.000,150.000,t,,310004379
ARSB80087,شطاف ظغط مربع مع طوبو كروم,توريما,1372-03330-026,شطاف,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,115.000,180.000,t,,210002683
ART0033,سماعة دوش مع طوبو كروم,فينوس,HSS416,سماعة دوش,0dafba13-51f2-fc5a-eab7-f16d55bcce40,49.470,75.000,t,,210004344
ATWC50424,بتارية مقعد أرضي تحت,سانيتاري ويرز,,ملحقات مقاعد,dc6e5eb0-a2c4-7fc8-161c-528f389f29cc,62.500,80.000,t,,210003935
RD30295,حوض قدم زاوية 80*80 سم,اديال سانيتار,A116,بانيو قدم,e47ac07e-2763-bc83-6cf2-c39bb577a1f9,208.650,330.000,t,,210003032
