id,sale_id,product_code,product_name,qty,unit_price,line_discount,discount_text,line_total,unit_cost_at_sale,old_id
2ae650f2-effd-9cd9-2ff8-22987e0b0d5f,85a93750-8bea-c0d4-c4b4-b94afe3bd0ce,ARSB80790,وجه خلاط شطاف مدفون اسود,1,270.000,0.000,"",270.000,150.000,310013363
a43a500f-fd62-94c3-e052-70929b90e32a,bc846df5-a9f8-3475-5507-1fe1a61c0ebb,EG30248,حوض مطبخ جرانيت أبيض محبب 70*50,-1,425.000,0.000,"",-425.000,300.000,310013555
ded784b3-d15c-e1d2-a237-bb64c9091246,c5ec064b-e999-9be2-29cf-dedf5355d1d6,EL50402,لصقة,1,5.000,0.000,"",5.000,2.500,210021155
20b88e4d-f963-b9f2-be23-ab08c59255c3,0b93c8a5-2512-30bc-6e92-f9f6b05ea947,RFP1094,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 60سم",4,20.000,0.000,"",80.000,13.500,210021162
d5f0536a-847d-44a7-7384-ad6cd45f4261,0b93c8a5-2512-30bc-6e92-f9f6b05ea947,ART0252,مقبض خلاط فيوري,2,160.000,0.000,"",320.000,40.000,210021161
271b0ecd-628b-0331-d158-ab8ea83a9a95,0b93c8a5-2512-30bc-6e92-f9f6b05ea947,RO10290,مسكر زاوية  ''1/2 * ''1/2 كروم,4,50.000,0.000,"",200.000,29.500,210021156
f3fecf0a-2b98-ff11-494d-3c112082161f,d65a0ca5-1a7c-b08b-e28e-60ee434c58f3,PA30019,مفتاح بيبة رقم10مم,1,8.000,0.000,"",8.000,3.250,210021165
f94fa0be-144e-23ac-3389-dd5a42dbf670,8b8a675a-0c8a-5047-be36-e7df39d7be89,PE30125,رولة طلاء 25 سم ديكور,1,35.000,0.000,"",35.000,28.500,210021166
9a0ed9ee-6d14-213d-4ebe-b18c717478d6,0424c853-77a6-abb0-2052-c0513615d60a,ML30793,مرايا حمام ضد البخار مع إضاءة لد 70*50 سم,1,170.000,0.000,"",170.000,100.000,310014045
f0aa8fa6-0637-3a73-fc3a-d5f98ca36fab,ebc6e81a-b4b6-9e56-f362-0275493d6f04,PS20532,علاقة مناشف زوجية ذهبي,1,160.000,0.000,"",160.000,95.000,310014062
8f6deed8-9ce6-e00d-7d75-3c86678b4ccb,50943b9c-a60d-a1ea-1c8a-8e2febc30039,EL50398,لصقة 0.13 مم * 19 مم * 25 متر,1,10.000,0.000,"",10.000,5.650,210021613
5f58006c-c3fa-478e-f277-78183cb404dc,0f5e6580-7cb5-df35-5166-53bf90aaeb4c,MA20688,خلاط حوض المطبخ سحاب كروم مطفي,1,250.000,0.000,"",250.000,110.000,210014678
6b19c6ee-d5cc-ba7d-2379-4984720a57c8,a3cab415-15dc-21ca-5602-db528d06b0c4,LG40121,حوض وجه برسلين مشطوف مع رف 80 سم,1,720.000,0.000,"",720.000,500.000,210021531
4f61c43b-e531-11b2-6f1e-d2efaf4e289a,a3cab415-15dc-21ca-5602-db528d06b0c4,CD40622,مسطرة دوش زوجية مربعة مع خلاط أسود,1,620.000,0.000,"",620.000,320.000,210021530
6ddb7b8e-bd82-93a9-6106-b346c7713df1,c105b28c-b85c-3b5b-085a-ea3ed1cce56a,EL10701,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 كروم,1,900.000,0.000,"",900.000,500.000,310014126
