code,name,old_stock_table,from_movements,diff
ML10029,خلاط حوض وجه طويل كروم ,1,4.000,3.000
AM40457,مراية دولاب حمام 80 سم,0,3.000,3.000
ATWC50218,بتارية مقعد أرضي ملحوم تحت 28 سم,24,27.000,3.000
EG40355,رف حوض وجه برسلين 65 سم,2,5.000,3.000
ALVM50029,سيفون حوض الوجه ذهبي,2,5.000,3.000
AECU50180,سيفون حوض المطبخ رأس صغير,3,6.000,3.000
ARSB80182,مخرج شطاف مربع بالعلاقة أسود,4,7.000,3.000
AASB30052,موزع صابون سائل كروم,2,5.000,3.000
LG40385, حوض وجه برسلين مع رف 65 سم ,0,-3.000,-3.000
ART0200,سيفون حوض المطبخ,-1,-4.000,-3.000
ML30074,مرايا حمام مع إضاءة لد 80*60 سم,0,3.000,3.000
EG30246,حوض مطبخ جرانيت أبيض 70*50 ,0,3.000,3.000
MC10653,سرفنتينة 15 سم * 15 سم أسود,28,25.000,-3.000
MA20126,خلاط حوض المطبخ سحاب كروم,0,3.000,3.000
ARSB80295,"مسكر شطافة ""1/2"" * ""1/2 دهبي",8,11.000,3.000
ARSB80660,مخرج شطاف مع علاق كروم,28,25.000,-3.000
LG40322, حوض وجه برسلين 80 سم,1,4.000,3.000
AASB30048,صابونية كروم,7,10.000,3.000
EG40351,رف حوض وجه برسلين 80 سم,1,4.000,3.000
PE30374,اسمنت ابيض 50كغ,11,8.000,-3.000
ARSB80240,كسكاس دوش شريحة مربع 250*250 مم مع قصبة كروم,2,5.000,3.000
ARSB80350,قصبة دوش دائرية 30 سم كروم,1,-2.000,-3.000
ALVM50225,سيفون حوض الوجه كروم,0,-3.000,-3.000
ML30744,مرايا حمام مع إضاءة لد-عرض60*80 سم,-1,2.000,3.000
AM40194,مراية دولاب حمام -60 سم ,1,-2.000,-3.000
WS10014,مقعد معلق (صندوق خارجي) أبيض ,5,2.000,-3.000
VS10219,عمود حوض وجه سداسي أرضي أبيض ,1,4.000,3.000
LG40330,حوض وجه برسلين 65 سم,2,5.000,3.000
ME10022,خلاط حوض المطبخ شجرة كروم,0,3.000,3.000
ML10000,خلاط حوض وجه كروم ,2,5.000,3.000
EG30878,حوض مطبخ جرانيت أسود مطفي50*43 فردي,6,3.000,-3.000
MC10645,مجرى 40 سم *8 سم أسود,26,23.000,-3.000
CE10007,سخانة 80 لتر,5,8.000,3.000
ML30099,مرايا حمام مع إضاءة لد سداسية 60*80 سم,-2,-5.000,-3.000
ML30836,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,-4,-7.000,-3.000
ARSB80250,مخرج شطاف مع علاق كروم,3,6.000,3.000
SA10015,طقم اكسسوار ذهبي,0,3.000,3.000
AB10072,خزانة حمام أبيض ,0,3.000,3.000
VS10187,حوض وجه معلق -50 سم,6,9.000,3.000
ARSB80194,قصبة دوش 40 سم أسود,7,10.000,3.000
ML10010,خلاط حوض وجه ذهبي ,2,5.000,3.000
MC10008,سرفنتينة 15 سم * 15 سم كروم ,3,6.000,3.000
ARSB80202,قصبة دوش  40 سم شبشاشة كروم,2,5.000,3.000
RA20040,"مخفض 32""* 25"" لحام",523,520.000,-3.000
ARSB80179,حنفية شطاف دبل كروم,0,3.000,3.000
AM0456,دولاب حمام 85 سم,0,3.000,3.000
EG30292,حوض مطبخ جرانيت رصاصي محبب  80*50 ,3,6.000,3.000
ARSB80311,مخرج شطاف مع علاق كروم,0,3.000,3.000
ML10025,خلاط حوض وجه  20 سم كروم ,-1,2.000,3.000
EL50114,برتولامبه بدون تامينه ,0,3.000,3.000
SA10316,طقم اكسسوار كروم,0,-2.000,-2.000
EL10702,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 أسود,9,7.000,-2.000
ARSB80282,كسكاس دوش مربع 200*200 مم مع قصبة أسود,2,4.000,2.000
PE30452,غيار روله قطني 10سم ,52,50.000,-2.000
ML10089,خلاط حوض وجه 3 فتحات كروم,2,0.000,-2.000
AASB30992,حاملة فوط كروم,0,-2.000,-2.000
EG40156,رف حوض وجه برسلين 80 سم,2,0.000,-2.000
SA10771,طقم اكسسوار كروم,0,2.000,2.000
ML10056,خلاط حوض وجه طويل كروم ,1,3.000,2.000
AASB30343,فرشاة مرحاض كروم,1,-1.000,-2.000
ARSB80996,كسكاس دوش دائري 250 مم كروم,0,2.000,2.000
CD40002,مسطرة دوش زوجية كروم,9,7.000,-2.000
ARSB80364,كسكاس دوش مربع مع قصبة 250*250 مم كروم,0,-2.000,-2.000
ARSB80499,سماعة دوش مع طوبو كروم,7,5.000,-2.000
EG30093,حوض مطبخ جرانيت رملي محبب 70*50 ,0,2.000,2.000
PD20123,حاجز دوش 8 مم  مضبب120  سم,0,-2.000,-2.000
WA40089,غطاء مقعد أبيض,7,5.000,-2.000
ML10080,خلاط حوض وجه ذهبي,2,4.000,2.000
ML30050,مرايا حمام مع إضاءة لد 80*60 سم,0,-2.000,-2.000
ML10058,خلاط حوض وجه  15 سم كروم ,0,2.000,2.000
MA20120,خلاط حوض المطبخ دبل سحاب أسود,0,2.000,2.000
ARSB80065,كسكاس دوش دائري 300 مم مع قصبة كروم,1,3.000,2.000
SA10315,طقم اكسسوار كروم,0,-2.000,-2.000
EG40372,رف حوض وجه برسلين 80 سم,1,-1.000,-2.000
ATWC50181,زر بتريا كروم,1,3.000,2.000
ART0007,كسكاس دوش مربع 200*200 مم كروم,4,6.000,2.000
VS10000,حوض وجه معلق -60 سم,0,2.000,2.000
AASB30100,موزع صابون أسود,0,2.000,2.000
ARSB80038,شطاف ظغط مربع مع مخرج بالعلاقة مع طوبو أسود,1,3.000,2.000
ARSB80939,مخرج شطاف مع علاق جانبي كروم,20,18.000,-2.000
ARSB80090,طوبو شطاف 1.2 م أبيض,8,10.000,2.000
MTE60028,خلاط شطاف مدفون برنزي,0,2.000,2.000
ARSB80012,كسكاس دوش مربع 250*250 مم كروم,0,2.000,2.000
LG40902, حوض رخامي كوريان 80سم ,1,3.000,2.000
LG40100, حوض وجه برسلين مشطوف مع رف 60,-2,0.000,2.000
WS10169,مقعد معلق رايملس أسود,7,5.000,-2.000
PD20434,حاجز دوش 10 مم اطار كروم مضبب 80 سم,0,-2.000,-2.000
VS10180,حوض وجه معلق رخامي أبيض,0,2.000,2.000
ALVM50393,رأس سيفوني رخامي,0,2.000,2.000
EG40186,رف حوض وجه برسلين 80 سم,0,2.000,2.000
VP20215,حوض وجه فوق الرخام أبيض -50سم ,5,7.000,2.000
ARSB80383,كسكاس دوش مربع 300*300 مم كروم,0,2.000,2.000
LG40185, حوض وجه برسلين مشطوف 80 سم ,0,2.000,2.000
ARSB80795,كسكاس دوش دائري 250*250 مم مع قصبة كروم,3,1.000,-2.000
LG40194, حوض وجه برسلين مشطوف مع رف 80 سم ,0,-2.000,-2.000
AASB30304,حاملة ورق ناعم كلينكس رخامي,4,2.000,-2.000
ML30282,مرايا حمام مع إضاءة لد دائرية 60سم,-1,1.000,2.000
EG40357,رف حوض وجه برسلين 65 سم,2,4.000,2.000
PSB10825, دولاب حمام حوض مع مرايا لد -90 سم,3,5.000,2.000
AM0901, دولاب حمام -80 سم,1,3.000,2.000
WP20097,مقعد أرضي بدون صندوق أبيض,1,-1.000,-2.000
ATWC50347,زر بتريا كروم,0,-2.000,-2.000
LG40149, حوض وجه برسلين مشطوف 80 سم,2,0.000,-2.000
AASB30344,فرشاة تنظيف مرحاض كروم,0,-2.000,-2.000
ARSB80305,مخرج شطاف مع علاق مع محول كروم,0,2.000,2.000
AASB30306,حامل ورق منظف كلينكس,0,-2.000,-2.000
EL10144,حوض مطبخ ستانلس ستيل   80*50  أسود,0,2.000,2.000
MT30556,خلاط شطاف مع شطاف كروم,8,6.000,-2.000
SA10314,طقم اكسسوار كروم,1,-1.000,-2.000
ARSB80278,مخرج شطاف مع علاق كروم,12,14.000,2.000
EG40150,رف حوض وجه برسلين 80 سم,2,0.000,-2.000
ALVM50275,رأس سيفوني كروم,2,4.000,2.000
SA10311,طقم اكسسوار كروم,3,1.000,-2.000
AASB30062,صابونية كروم,12,14.000,2.000
ART0302,شطاف ظغط دائري مع طوبو كروم,2,0.000,-2.000
ARSB80197,قصبة دوش  40 سم شبشاشة كروم,4,6.000,2.000
VS10221, حوض وجه سداسي معلق أبيض ,-1,1.000,2.000
MT30020,خلاط شطاف مع شطاف أسود,0,2.000,2.000
AM40452,مراية دولاب حمام 100 سم,-1,1.000,2.000
AM0111,حوض وجه مع دولاب حمام -80 سم,0,-2.000,-2.000
ALVM50062,مطول سيفون حوض الوجه كروم,7,5.000,-2.000
