Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
MA20033,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,,360.0,168.0
ME10037,خلاط حوض المطبخ شجرة لاد كروم,ليفرنو هوم,,250.0,125.0
MA20043,خلاط حوض المطبخ سحاب نحاسي,سانيتاري ويرز,,360.0,168.0
MDE50048,خلاط دوش مدفون كروم,توريما,8G01011-093,410.0,235.0
ARSB80056,كسكاس دوش مربع 300*300 مم كروم,فينوس,UTS12,140.0,68.0
ARSB80057,كسكاس دوش مربع 200*200 مم كروم,فينوس,SSH08,135.0,85.0
ARSB80058,كسكاس دوش دائري 200 مم كروم,فينوس,UTR8,70.0,37.0
ARSB80059,كسكاس دوش مربع 250*250 مم كروم,فينوس,SSHS10,200.0,133.0
ARSB80063,كسكاس دوش دائري 300 مم كروم,ستورم,MSR1230,150.0,88.0
ARSB80064,كسكاس دوش مربع 200*200 مم كروم,سانيتاري ويرز,,85.0,45.0
ARSB80066,كسكاس دوش مربع 300*300 مم مع قصبة كروم,شيزا,,200.0,135.0
ARSB80097,مصب دوش بدون تحويلة كروم,بريمكس,J008D,100.0,58.0
ARSB80101,مصب دوش مع تحويلة كروم,بريمكس,J006D,125.0,77.0
ARSB80102,مصب دوش مع تحويلة كروم,دانيال,K4702CR,380.0,255.0
ARSB80105,مصب دوش مع تحويلة كروم,دانيال,SK4702CR,470.0,360.0
ARSB80107,مصب قصير دوش مع تحويلة كروم,دانيال,SK4702CR,300.0,215.0
ARSB80112,قصبة دوش مربعة 43 سم كروم,فينوس,,75.0,42.0
ARSB80117,مصب دوش مع تحويلة كروم,فينوس,RACHEL D1,170.0,113.0
ARSB80118,مصب دوش مع تحويلة ليفة كروم,فينوس,CALVIN K,130.0,81.0
ARSB80119,مصب دوش مع تحويلة كروم,فورتميكس,,150.0,85.0
ARSB80121,قصبة دوش 40 سم سقفية كروم,دانيال,A557QCM40,350.0,225.0
ARSB80127,سماعة دوش مع طوبو كروم,رايمر,339N317MDI,170.0,110.0
ARSB80131,قصبة دوش 35 سم كروم,سانيتاري ويرز,,75.0,39.0
AEVE20141,رأس سيفوني 1 ''1/4 كروم,فينوس,1083,50.0,2.0
ARSB80143,قصبة دوش مربعة 40 سم ذهبي,توريما,0324433-T40,500.0,340.0
ARSB80148,مصب دوش مع تحويلة كروم,فينوس,RACHEL D1S,160.0,110.0
ARSB80151,قصبة دوش 33 سم كروم,توريما,0324611-T40,130.0,78.0
PSB10153,خلاط مع سماعة مع مسطرة دوش زوجية كروم,سانيتاري ويرز,,500.0,312.0
AASB30155,حاملة فرشاة أسنان كروم,فينوس,BA702,75.0,44.0
WP20156,مقعد أرضي ملحوم تورىيدو أبيض,ب.أمور,SH-6201,760.0,543.0
WP20158,مقعد أرضي ملحوم طويل أبيض,ب.أمور,SH-9009,800.0,461.0
WP20160,مقعد أرضي ملحوم سداسي مدفع أبيض,ب.أمور,SH-276-P,570.0,450.0
WS10165,مقعد معلق تورنيدو أبيض,ب.أمور,SH-024,700.0,390.0
WP20166,مقعد أرضي ملحوم بيضوي أبيض,ب.أمور,SH-GA801,1050.0,610.0
WS10167,مقعد معلق رايملس رصاصي,ب.أمور,SH-A001-MG,750.0,565.0
WS10173,مقعد معلق أبيض,ب.أمور,SH-M206,480.0,280.0
WS10174,مقعد معلق رايملس أبيض,تركواز سيراستايل,NOURA,820.0,584.0
ARSB80175,مخرج شطاف مع علاق كروم,دانيال,A547,200.0,135.0
VS10176,حوض وجه معلق أبيض,ب.أمور,SH-116,320.0,129.5
VS10180,حوض وجه معلق رخامي أبيض,ب.أمور,SH-P128MGL,340.0,230.0
AM0183,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,ML-01-80,600.0,380.0
AM0184,حوض وجه مع دولاب حمام -60 سم,سانيتاري ويرز,ML-02-60,620.0,380.0
VS10190,حوض وجه معلق -80 سم,تركواز سيراستايل,MONA,460.0,315.0
WP20192,مقعد أرضي أبيض,ايجا فتريفاي,KAPAYA,430.0,310.0
AECU50199,سيفون حوض المطبخ رأس كبير,سي أر سمارت,L-B-PLAST,50.0,29.5
VS10204,حوض وجه معلق أبيض -50سم,ب.أمور,8302A,250.0,154.0
VS10208,حوض وجه معلق أبيض -60سم,ب.أمور,SH-8420-60-W,450.0,190.922
ATWC50217,بتارية مقعد أرضي بيضوي تحت,سانيتاري ويرز,,80.0,50.0
MC10219,سرفنتينة 15 سم * 15 سم كروم,سانيتاري ويرز,SUN AISI 304,85.0,45.0
VS10222,حوض وجه سداسي مع عمود معلق أبيض,ب.أمور,SH-B182-H,320.0,215.0
VS10223,حوض وجه سداسي مع عمود أرضي أبيض,ب.أمور,SH-501,320.0,195.0
MC10224,سرفنتينة ضغط 15 سم * 15 سم كروم,فينوس,610,65.0,35.46
MC10225,سرفنتينة 15 سم * 15 سم كروم,سانيتاري ويرز,,65.0,75.0
MC10226,مجرى 29 سم * 9 سم كروم,سانيتاري ويرز,,180.0,135.0
PSB10228,حوض وجه مع دولاب حمام مع مراية -60 سم,سانيتاري ويرز,ML-02-60,650.0,480.0
PSB10229,حوض وجه مع دولاب حمام مع مراية -80 سم,سانيتاري ويرز,ML-01-80,750.0,470.0
PSB10230,حوض وجه مع دولاب حمام مع مراية -80 سم,سانيتاري ويرز,ML-02-80,750.0,554.0
EL10235,حوض مطبخ ستانلس ستيل 304 كروم,أسيل,AS386,720.0,510.0
EL10237,حوض مطبخ ستانلس ستيل 304 50*50 كروم,أسيل,AS 14,300.0,174.0
EL10239,حوض مطبخ ستانلس ستيل 82*45 كروم,بريمكس,EC 02,530.0,270.0
EG30246,حوض مطبخ جرانيت أبيض 70*50,سانيبال,رودا,450.0,300.0
EG30247,حوض مطبخ جرانيت رصاصي محبب 70*50,سانيبال,رودا,450.0,290.0
EG30248,حوض مطبخ جرانيت أبيض محبب 70*50,سانيبال,رودا,450.0,300.0
EG30251,حوض مطبخ جرانيت أسود محبب 70*50,سانيبال,رودا,450.0,300.0
ACE20266,فلفلة سخانة,سانيتاري ويرز,,20.0,11.5
AM40270,مراية حمام بالدولاب أبيض منقط -80 سم,أرسين,,250.0,175.0
AM40273,مراية حمام بالدولاب كروم -80 سم,أرسين,,250.0,175.0
ALVM50276,رأس سيفوني كروم,بريمكس,T221,50.0,24.0
ML30275,مرايا حمام مع إضاءة لد 80*60 سم,كاي بي ام,ML_002,125.0,77.6
ML30278,مرايا حمام مع إضاءة لد 80*60 سم,كاي بي ام,ML_006,125.0,77.6
ALVM50281,رأس سيفوني كروم,سانيتاري ويرز,,35.0,19.0
ALVM50282,رأس سيفوني كروم,سانيتاري ويرز,,30.0,14.5
ML30283,مرايا حمام مع إضاءة لد دائرية 80سم,سانيتاري ويرز,,170.0,120.0
ML30284,مرايا حمام مع إضاءة لد دائرية بالعلاقة مع اطار أسود 60سم,سانيتاري ويرز,,190.0,135.0
ML30288,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,,125.0,85.0
RO10289,مسكر زاوية ''1/2 * ''1/2 كروم,فينوس,S-7,35.0,19.0
RO10290,مسكر زاوية ''1/2 * ''1/2 كروم,سانيتاري ويرز,,45.0,29.5
BAI10291,حوض استحمام بانيو 120*70*53 سم,ساناكريل,A119,1100.0,761.25
RO10293,مسكر زاوية ''1/2 * ''1/2 أسود,سانيتاري ويرز,,25.0,15.5
BAI10293,حوض استحمام بانيو 150*70*53 سم,ساناكريل,A116,1400.0,1047.5
BAI10294,حوض استحمام بانيو 180*80*60 سم,ساناكريل,A141,3000.0,2120.0
RO10295,حنفية غسالة ''1/2 * ''3/4 كروم,ريو,R0040,30.0,17.75
ARSB80297,سماعة دوش مع طوبو ذهبي,توريما,1372-012,470.0,320.0
MD20300,خلاط دوش أسود,توريما,8G162BB-040,770.0,505.0
ARSB80305,مخرج شطاف مع علاق مع محول كروم,توريما,1372-003,190.0,120.0
RD30308,حوض قدم مستطيل اكريليك 100*70,ساناكريل,M331,580.0,412.25
RD30309,حوض قدم مستطيل زاوية يسار اكريليك 120*80*14,ساناكريل,M331,580.0,446.0
ARSB80311,مخرج شطاف مع علاق كروم,شيزا,48593,80.0,43.5
ATWC50313,صندوق طرد مدفون بتارية مع زر دائري 9 لتر,غروهي,38723,930.0,920.0
ARSB80315,مخرج شطاف مع علاق كروم,سلارنو,HR-M05,80.0,39.5
ARSB80316,مخرج شطاف مع علاق كروم,سلارنو,HR-M09,60.0,28.0
ARSB80317,مخرج شطاف مع علاق كروم,سلارنو,HR-M07,60.0,31.5
ARSB80320,مخرج شطاف مع علاق ذهبي,بريمكس,J014G,120.0,64.0
LG40333,حوض وجه برسلين 100 سم,رويال,YB032_19,450.0,310.0
LG40334,حوض وجه برسلين 100 سم,رويال,YB032_11,450.0,310.0
LG40337,حوض وجه برسلين 100 سم,رويال,YB032_1,450.0,310.0
ARSB80336,مخرج شطاف كروم,فينوس,OER,60.0,30.0
EG40350,رف حوض وجه برسلين 80 سم,رويال,YB14-10,150.0,60.0
EG40354,رف حوض وجه برسلين 80 سم,رويال,YB14-2,150.0,60.0
ARSB80361,مخرج شطاف كروم,بضائع أوروبية,230E,70.0,37.5
LG40001,حوض وجه برسلين مشطوف مع رف 80 سم,رويال,YB14-6,750.0,560.0
ARSB80009,سماعة دوش مع طوبو كروم,سانيتاري واير,,45.0,15.5
